property,value,state,condition,subject
duration,0.06679206683094212,all-SPW-states,baseline-light-period,Valentino
sink_amplitude,0.03979114592388418,all-SPW-states,baseline-light-period,Valentino
sink_integral,1.7431581140036305,all-SPW-states,baseline-light-period,Valentino
count,16639.0,all-SPW-states,baseline-light-period,Valentino
rate,0.4387927589328675,all-SPW-states,baseline-light-period,Valentino
duration,0.06640626037467487,NREM,first2h-recovery-match,Valentino
sink_amplitude,0.040104599489541044,NREM,first2h-recovery-match,Valentino
sink_integral,1.7446070364248951,NREM,first2h-recovery-match,Valentino
count,4217.0,NREM,first2h-recovery-match,Valentino
rate,0.5860208056242784,NREM,first2h-recovery-match,Valentino
duration,0.06569977794226406,wake,first2h-recovery-match,Valentino
sink_amplitude,0.04153073708973938,wake,first2h-recovery-match,Valentino
sink_integral,1.7976167331702184,wake,first2h-recovery-match,Valentino
count,1351.0,wake,first2h-recovery-match,Valentino
rate,0.18847681953005638,wake,first2h-recovery-match,Valentino
duration,0.06525562319769507,all-SPW-states,first2h-recovery-match,Valentino
sink_amplitude,0.03998828585459985,all-SPW-states,first2h-recovery-match,Valentino
sink_integral,1.7168203156098811,all-SPW-states,first2h-recovery-match,Valentino
count,3121.0,all-SPW-states,first2h-recovery-match,Valentino
rate,0.43347281015746925,all-SPW-states,first2h-recovery-match,Valentino
duration,,NREM,deprivation,Valentino
sink_amplitude,,NREM,deprivation,Valentino
sink_integral,,NREM,deprivation,Valentino
count,0.0,NREM,deprivation,Valentino
rate,,NREM,deprivation,Valentino
duration,0.06697378665974386,wake,deprivation,Valentino
sink_amplitude,0.04602389507771531,wake,deprivation,Valentino
sink_integral,1.9885756126465344,wake,deprivation,Valentino
count,7706.0,wake,deprivation,Valentino
rate,0.35675925925944096,wake,deprivation,Valentino
duration,0.06697378665974386,all-SPW-states,deprivation,Valentino
sink_amplitude,0.04602389507771531,all-SPW-states,deprivation,Valentino
sink_integral,1.9885756126465344,all-SPW-states,deprivation,Valentino
count,7706.0,all-SPW-states,deprivation,Valentino
rate,0.35675925925944096,all-SPW-states,deprivation,Valentino
duration,,NREM,early-deprivation,Valentino
sink_amplitude,,NREM,early-deprivation,Valentino
sink_integral,,NREM,early-deprivation,Valentino
count,0.0,NREM,early-deprivation,Valentino
rate,,NREM,early-deprivation,Valentino
duration,0.06492029702969135,wake,early-deprivation,Valentino
sink_amplitude,0.04536466272249623,wake,early-deprivation,Valentino
sink_integral,1.9154047495161284,wake,early-deprivation,Valentino
count,808.0,wake,early-deprivation,Valentino
rate,0.2249615596453363,wake,early-deprivation,Valentino
duration,0.06492029702969135,all-SPW-states,early-deprivation,Valentino
sink_amplitude,0.04536466272249623,all-SPW-states,early-deprivation,Valentino
sink_integral,1.9154047495161284,all-SPW-states,early-deprivation,Valentino
count,808.0,all-SPW-states,early-deprivation,Valentino
rate,0.2249615596453363,all-SPW-states,early-deprivation,Valentino
duration,,NREM,late-deprivation,Valentino
sink_amplitude,,NREM,late-deprivation,Valentino
sink_integral,,NREM,late-deprivation,Valentino
count,0.0,NREM,late-deprivation,Valentino
rate,,NREM,late-deprivation,Valentino
duration,0.06760758533502119,wake,late-deprivation,Valentino
sink_amplitude,0.047455038865144114,wake,late-deprivation,Valentino
sink_integral,2.0616511330493035,wake,late-deprivation,Valentino
count,1582.0,wake,late-deprivation,Valentino
rate,0.4394685663859991,wake,late-deprivation,Valentino
duration,0.06760758533502119,all-SPW-states,late-deprivation,Valentino
sink_amplitude,0.047455038865144114,all-SPW-states,late-deprivation,Valentino
sink_integral,2.0616511330493035,all-SPW-states,late-deprivation,Valentino
count,1582.0,all-SPW-states,late-deprivation,Valentino
rate,0.4394685663859991,all-SPW-states,late-deprivation,Valentino
duration,0.06816583897486096,NREM,recovery,Doppio
sink_amplitude,0.04863491608528766,NREM,recovery,Doppio
sink_integral,2.1567340929721697,NREM,recovery,Doppio
count,10143.0,NREM,recovery,Doppio
rate,0.8482208960290072,NREM,recovery,Doppio
duration,0.06751107378898202,wake,recovery,Doppio
sink_amplitude,0.049974939413102104,wake,recovery,Doppio
sink_integral,2.2099175556447985,wake,recovery,Doppio
count,1454.0,wake,recovery,Doppio
rate,0.27506514607709837,wake,recovery,Doppio
duration,0.06808374631466715,all-SPW-states,recovery,Doppio
sink_amplitude,0.048802924528733575,all-SPW-states,recovery,Doppio
sink_integral,2.1634020894131503,all-SPW-states,recovery,Doppio
count,11597.0,all-SPW-states,recovery,Doppio
rate,0.6725241483235898,all-SPW-states,recovery,Doppio
duration,0.06959190153020134,NREM,early-recovery,Doppio
sink_amplitude,0.05090030973749427,NREM,early-recovery,Doppio
sink_integral,2.308644060866936,NREM,early-recovery,Doppio
count,3089.0,NREM,early-recovery,Doppio
rate,0.9053341189374248,NREM,early-recovery,Doppio
duration,0.07037470928983298,wake,early-recovery,Doppio
sink_amplitude,0.05170129542644997,wake,early-recovery,Doppio
sink_integral,2.382570617482324,wake,early-recovery,Doppio
count,682.0,wake,early-recovery,Doppio
rate,0.23582130846933935,wake,early-recovery,Doppio
duration,0.07023775107723527,all-SPW-states,early-recovery,Doppio
sink_amplitude,0.05171109443896972,all-SPW-states,early-recovery,Doppio
sink_integral,2.371080328066979,all-SPW-states,early-recovery,Doppio
count,2681.0,all-SPW-states,early-recovery,Doppio
rate,0.8007765866843041,all-SPW-states,early-recovery,Doppio
duration,0.06655800570500847,NREM,late-recovery,Doppio
sink_amplitude,0.047353742357316035,NREM,late-recovery,Doppio
sink_integral,2.04147473045804,NREM,late-recovery,Doppio
count,2781.0,NREM,late-recovery,Doppio
rate,0.7896081763169888,NREM,late-recovery,Doppio
duration,0.06568799209574946,wake,late-recovery,Doppio
sink_amplitude,0.04918407721054552,wake,late-recovery,Doppio
sink_integral,2.1086537451103364,wake,late-recovery,Doppio
count,963.0,wake,late-recovery,Doppio
rate,0.3242423980054281,wake,late-recovery,Doppio
duration,0.06650225870671192,all-SPW-states,late-recovery,Doppio
sink_amplitude,0.04711171340214206,all-SPW-states,late-recovery,Doppio
sink_integral,2.034344558365947,all-SPW-states,late-recovery,Doppio
count,1634.0,all-SPW-states,late-recovery,Doppio
rate,0.45770304993163013,all-SPW-states,late-recovery,Doppio
duration,0.06875758091309926,NREM,first2h-recovery,Doppio
sink_amplitude,0.04945526573850855,NREM,first2h-recovery,Doppio
sink_integral,2.215978345730995,NREM,first2h-recovery,Doppio
count,6281.0,NREM,first2h-recovery,Doppio
rate,0.8767460612384822,NREM,first2h-recovery,Doppio
duration,0.06751107378898202,wake,first2h-recovery,Doppio
sink_amplitude,0.049974939413102104,wake,first2h-recovery,Doppio
sink_integral,2.2099175556447985,wake,first2h-recovery,Doppio
count,1454.0,wake,first2h-recovery,Doppio
rate,0.27506514607709837,wake,first2h-recovery,Doppio
duration,0.06908126992275399,all-SPW-states,first2h-recovery,Doppio
sink_amplitude,0.04974548701330314,all-SPW-states,first2h-recovery,Doppio
sink_integral,2.239264264660287,all-SPW-states,first2h-recovery,Doppio
count,5943.0,all-SPW-states,first2h-recovery,Doppio
rate,0.826106238773495,all-SPW-states,first2h-recovery,Doppio
duration,0.0653189507087031,NREM,baseline-light-period,Doppio
sink_amplitude,0.04524702933637519,NREM,baseline-light-period,Doppio
sink_integral,1.9152697736375535,NREM,baseline-light-period,Doppio
count,15860.0,NREM,baseline-light-period,Doppio
rate,0.7124900339208547,NREM,baseline-light-period,Doppio
duration,0.0648580486275147,wake,baseline-light-period,Doppio
sink_amplitude,0.045494740866798514,wake,baseline-light-period,Doppio
sink_integral,1.9325089489395284,wake,baseline-light-period,Doppio
count,2354.0,wake,baseline-light-period,Doppio
rate,0.1496124879618891,wake,baseline-light-period,Doppio
duration,0.06525938315082905,all-SPW-states,baseline-light-period,Doppio
sink_amplitude,0.04527904388247245,all-SPW-states,baseline-light-period,Doppio
sink_integral,1.9174977860818765,all-SPW-states,baseline-light-period,Doppio
count,18214.0,all-SPW-states,baseline-light-period,Doppio
rate,0.47939222482418103,all-SPW-states,baseline-light-period,Doppio
duration,0.06468683098401198,NREM,first2h-recovery-match,Doppio
sink_amplitude,0.04528337247880431,NREM,first2h-recovery-match,Doppio
sink_integral,1.8995557936811762,NREM,first2h-recovery-match,Doppio
count,5319.0,NREM,first2h-recovery-match,Doppio
rate,0.7437111489609244,NREM,first2h-recovery-match,Doppio
duration,0.06468338615663442,wake,first2h-recovery-match,Doppio
sink_amplitude,0.04497102832000743,wake,first2h-recovery-match,Doppio
sink_integral,1.8877230876314766,wake,first2h-recovery-match,Doppio
count,707.0,wake,first2h-recovery-match,Doppio
rate,0.13590873665198655,wake,first2h-recovery-match,Doppio
duration,0.06500508730263607,all-SPW-states,first2h-recovery-match,Doppio
sink_amplitude,0.04542068805787305,all-SPW-states,first2h-recovery-match,Doppio
sink_integral,1.9103860336071306,all-SPW-states,first2h-recovery-match,Doppio
count,4192.0,all-SPW-states,first2h-recovery-match,Doppio
rate,0.6351524545815482,all-SPW-states,first2h-recovery-match,Doppio
duration,,NREM,deprivation,Doppio
sink_amplitude,,NREM,deprivation,Doppio
sink_integral,,NREM,deprivation,Doppio
count,0.0,NREM,deprivation,Doppio
rate,,NREM,deprivation,Doppio
duration,0.06651120482928112,wake,deprivation,Doppio
sink_amplitude,0.0526853001925155,wake,deprivation,Doppio
sink_integral,2.3193948498565615,wake,deprivation,Doppio
count,7887.0,wake,deprivation,Doppio
rate,0.3651388888890918,wake,deprivation,Doppio
duration,0.06651120482928112,all-SPW-states,deprivation,Doppio
sink_amplitude,0.0526853001925155,all-SPW-states,deprivation,Doppio
sink_integral,2.3193948498565615,all-SPW-states,deprivation,Doppio
count,7887.0,all-SPW-states,deprivation,Doppio
rate,0.3651388888890918,all-SPW-states,deprivation,Doppio
duration,,NREM,early-deprivation,Doppio
sink_amplitude,,NREM,early-deprivation,Doppio
sink_integral,,NREM,early-deprivation,Doppio
count,0.0,NREM,early-deprivation,Doppio
rate,,NREM,early-deprivation,Doppio
duration,0.0656882151939237,wake,early-deprivation,Doppio
sink_amplitude,0.048305321589144475,wake,early-deprivation,Doppio
sink_integral,2.061788741306633,wake,early-deprivation,Doppio
count,512.0,wake,early-deprivation,Doppio
rate,0.14842946060011405,wake,early-deprivation,Doppio
duration,0.0656882151939237,all-SPW-states,early-deprivation,Doppio
sink_amplitude,0.048305321589144475,all-SPW-states,early-deprivation,Doppio
sink_integral,2.061788741306633,all-SPW-states,early-deprivation,Doppio
count,512.0,all-SPW-states,early-deprivation,Doppio
rate,0.14842946060011405,all-SPW-states,early-deprivation,Doppio
duration,,NREM,late-deprivation,Doppio
sink_amplitude,,NREM,late-deprivation,Doppio
sink_integral,,NREM,late-deprivation,Doppio
count,0.0,NREM,late-deprivation,Doppio
rate,,NREM,late-deprivation,Doppio
duration,0.065717715941039,wake,late-deprivation,Doppio
sink_amplitude,0.05187746281465984,wake,late-deprivation,Doppio
sink_integral,2.2500056119802805,wake,late-deprivation,Doppio
count,1569.0,wake,late-deprivation,Doppio
rate,0.44373219979403705,wake,late-deprivation,Doppio
duration,0.065717715941039,all-SPW-states,late-deprivation,Doppio
sink_amplitude,0.05187746281465984,all-SPW-states,late-deprivation,Doppio
sink_integral,2.2500056119802805,all-SPW-states,late-deprivation,Doppio
count,1569.0,all-SPW-states,late-deprivation,Doppio
rate,0.44373219979403705,all-SPW-states,late-deprivation,Doppio
duration,0.06315999655323278,NREM,recovery,Alessandro
sink_amplitude,0.10268170166294036,NREM,recovery,Alessandro
sink_integral,4.081587251723139,NREM,recovery,Alessandro
count,12440.0,NREM,recovery,Alessandro
rate,0.7858526341569483,NREM,recovery,Alessandro
duration,0.06055680043266479,wake,recovery,Alessandro
sink_amplitude,0.10541472895615601,wake,recovery,Alessandro
sink_integral,4.06847639693642,wake,recovery,Alessandro
count,588.0,wake,recovery,Alessandro
rate,0.29195340600018027,wake,recovery,Alessandro
duration,0.06304250504886567,all-SPW-states,recovery,Alessandro
sink_amplitude,0.10280505291013162,all-SPW-states,recovery,Alessandro
sink_integral,4.0809955121917785,all-SPW-states,recovery,Alessandro
count,13028.0,all-SPW-states,recovery,Alessandro
rate,0.7301069964881066,all-SPW-states,recovery,Alessandro
duration,0.06114852462194238,NREM,early-recovery,Alessandro
sink_amplitude,0.10525768423477459,NREM,early-recovery,Alessandro
sink_integral,4.0730380775680315,NREM,early-recovery,Alessandro
count,3364.0,NREM,early-recovery,Alessandro
rate,0.9722571506757266,NREM,early-recovery,Alessandro
duration,0.06055680043266479,wake,early-recovery,Alessandro
sink_amplitude,0.10541472895615601,wake,early-recovery,Alessandro
sink_integral,4.06847639693642,wake,early-recovery,Alessandro
count,588.0,wake,early-recovery,Alessandro
rate,0.29195340600018027,wake,early-recovery,Alessandro
duration,0.06122732971534273,all-SPW-states,early-recovery,Alessandro
