band,region,power,state,condition,subject
delta,sr_wm_ref,182852.43096308783,all-SPW-states,late-deprivation,Segundo
theta,mpta_wm_ref,13057.871935005249,all-SPW-states,late-deprivation,Segundo
theta,sr_wm_ref,253866.59425982766,all-SPW-states,late-deprivation,Segundo
fast_gamma,mpta_wm_ref,1680.521779913172,all-SPW-states,late-deprivation,Segundo
fast_gamma,sr_wm_ref,7033.368815108581,all-SPW-states,late-deprivation,Segundo
low_delta,mpta_wm_ref,31900.841795472035,NREM,recovery,Valentino
low_delta,sr_wm_ref,149193.47344454384,NREM,recovery,Valentino
delta,mpta_wm_ref,89467.68393155324,NREM,recovery,Valentino
delta,sr_wm_ref,391769.6453068071,NREM,recovery,Valentino
theta,mpta_wm_ref,39548.03754089259,NREM,recovery,Valentino
theta,sr_wm_ref,252403.33342151457,NREM,recovery,Valentino
fast_gamma,mpta_wm_ref,1168.7557703947423,NREM,recovery,Valentino
fast_gamma,sr_wm_ref,8610.516754208451,NREM,recovery,Valentino
low_delta,mpta_wm_ref,7410.1825535401,wake,recovery,Valentino
low_delta,sr_wm_ref,53637.84084978474,wake,recovery,Valentino
delta,mpta_wm_ref,15606.073547827786,wake,recovery,Valentino
delta,sr_wm_ref,119505.10880106768,wake,recovery,Valentino
theta,mpta_wm_ref,10868.750253419104,wake,recovery,Valentino
theta,sr_wm_ref,150065.58079549548,wake,recovery,Valentino
fast_gamma,mpta_wm_ref,1320.3261775590377,wake,recovery,Valentino
fast_gamma,sr_wm_ref,4183.045611902375,wake,recovery,Valentino
low_delta,mpta_wm_ref,20630.772348008955,all-SPW-states,recovery,Valentino
low_delta,sr_wm_ref,120466.30389652224,all-SPW-states,recovery,Valentino
delta,mpta_wm_ref,60583.83103295749,all-SPW-states,recovery,Valentino
delta,sr_wm_ref,320440.27816822496,all-SPW-states,recovery,Valentino
theta,mpta_wm_ref,29373.600730736343,all-SPW-states,recovery,Valentino
theta,sr_wm_ref,222685.24652970527,all-SPW-states,recovery,Valentino
fast_gamma,mpta_wm_ref,1205.1019535266432,all-SPW-states,recovery,Valentino
fast_gamma,sr_wm_ref,7494.101153071065,all-SPW-states,recovery,Valentino
low_delta,mpta_wm_ref,33485.446877042144,NREM,early-recovery,Valentino
low_delta,sr_wm_ref,175814.4981442457,NREM,early-recovery,Valentino
delta,mpta_wm_ref,113067.05782385041,NREM,early-recovery,Valentino
delta,sr_wm_ref,455518.5869723203,NREM,early-recovery,Valentino
theta,mpta_wm_ref,43507.23018895829,NREM,early-recovery,Valentino
theta,sr_wm_ref,242069.9033759143,NREM,early-recovery,Valentino
fast_gamma,mpta_wm_ref,1232.6462035994678,NREM,early-recovery,Valentino
fast_gamma,sr_wm_ref,9699.290286507201,NREM,early-recovery,Valentino
low_delta,mpta_wm_ref,8077.003077701817,wake,early-recovery,Valentino
low_delta,sr_wm_ref,66908.35282961975,wake,early-recovery,Valentino
delta,mpta_wm_ref,18462.360836442607,wake,early-recovery,Valentino
delta,sr_wm_ref,159123.93496602983,wake,early-recovery,Valentino
theta,mpta_wm_ref,11642.335120658823,wake,early-recovery,Valentino
theta,sr_wm_ref,156422.70133654185,wake,early-recovery,Valentino
fast_gamma,mpta_wm_ref,1274.0560675898328,wake,early-recovery,Valentino
fast_gamma,sr_wm_ref,4446.756768312586,wake,early-recovery,Valentino
low_delta,mpta_wm_ref,23780.77952199419,all-SPW-states,early-recovery,Valentino
low_delta,sr_wm_ref,153182.54671254414,all-SPW-states,early-recovery,Valentino
delta,mpta_wm_ref,83675.45315950358,all-SPW-states,early-recovery,Valentino
delta,sr_wm_ref,409735.1861683284,all-SPW-states,early-recovery,Valentino
theta,mpta_wm_ref,37423.333469736914,all-SPW-states,early-recovery,Valentino
theta,sr_wm_ref,224368.83446004984,all-SPW-states,early-recovery,Valentino
fast_gamma,mpta_wm_ref,1312.3069767467748,all-SPW-states,early-recovery,Valentino
fast_gamma,sr_wm_ref,9346.588153812849,all-SPW-states,early-recovery,Valentino
low_delta,mpta_wm_ref,24239.702620409586,NREM,late-recovery,Valentino
