property,value,state,condition,subject
sink_amplitude,0.04391106270152525,wake,first2h-recovery,Doppio
sink_integral,1.692283771420973,wake,first2h-recovery,Doppio
count,1454.0,wake,first2h-recovery,Doppio
rate,0.27506514607709837,wake,first2h-recovery,Doppio
duration,0.05999993966361217,all-SPW-states,first2h-recovery,Doppio
sink_amplitude,0.043134075842946144,all-SPW-states,first2h-recovery,Doppio
sink_integral,1.7045801236542941,all-SPW-states,first2h-recovery,Doppio
count,5943.0,all-SPW-states,first2h-recovery,Doppio
rate,0.826106238773495,all-SPW-states,first2h-recovery,Doppio
duration,0.05679994288220769,NREM,baseline-light-period,Doppio
sink_amplitude,0.04147074492134975,NREM,baseline-light-period,Doppio
sink_integral,1.573476724024189,NREM,baseline-light-period,Doppio
count,15860.0,NREM,baseline-light-period,Doppio
rate,0.7124900339208547,NREM,baseline-light-period,Doppio
duration,0.05559994408849889,wake,baseline-light-period,Doppio
sink_amplitude,0.04134882687999238,wake,baseline-light-period,Doppio
sink_integral,1.5321649812865898,wake,baseline-light-period,Doppio
count,2354.0,wake,baseline-light-period,Doppio
rate,0.1496124879618891,wake,baseline-light-period,Doppio
duration,0.05679994288175294,all-SPW-states,baseline-light-period,Doppio
sink_amplitude,0.04145012068354666,all-SPW-states,baseline-light-period,Doppio
sink_integral,1.568376783797762,all-SPW-states,baseline-light-period,Doppio
count,18214.0,all-SPW-states,baseline-light-period,Doppio
rate,0.47939222482418103,all-SPW-states,baseline-light-period,Doppio
duration,0.056399943284304754,NREM,first2h-recovery-match,Doppio
sink_amplitude,0.04180833230211884,NREM,first2h-recovery-match,Doppio
sink_integral,1.5693420760099215,NREM,first2h-recovery-match,Doppio
count,5319.0,NREM,first2h-recovery-match,Doppio
rate,0.7437111489609244,NREM,first2h-recovery-match,Doppio
duration,0.05479994489314777,wake,first2h-recovery-match,Doppio
sink_amplitude,0.04093754533632417,wake,first2h-recovery-match,Doppio
sink_integral,1.511844425991698,wake,first2h-recovery-match,Doppio
count,707.0,wake,first2h-recovery-match,Doppio
rate,0.13590873665198655,wake,first2h-recovery-match,Doppio
duration,0.056399943284304754,all-SPW-states,first2h-recovery-match,Doppio
sink_amplitude,0.04194744646774257,all-SPW-states,first2h-recovery-match,Doppio
sink_integral,1.5718771105556266,all-SPW-states,first2h-recovery-match,Doppio
count,4192.0,all-SPW-states,first2h-recovery-match,Doppio
rate,0.6351524545815482,all-SPW-states,first2h-recovery-match,Doppio
duration,,NREM,deprivation,Doppio
sink_amplitude,,NREM,deprivation,Doppio
sink_integral,,NREM,deprivation,Doppio
count,0.0,NREM,deprivation,Doppio
rate,,NREM,deprivation,Doppio
duration,0.05559994408849889,wake,deprivation,Doppio
sink_amplitude,0.047159551374306274,wake,deprivation,Doppio
sink_integral,1.6924473961870825,wake,deprivation,Doppio
count,7887.0,wake,deprivation,Doppio
rate,0.3651388888890918,wake,deprivation,Doppio
duration,0.05559994408849889,all-SPW-states,deprivation,Doppio
sink_amplitude,0.047159551374306274,all-SPW-states,deprivation,Doppio
sink_integral,1.6924473961870825,all-SPW-states,deprivation,Doppio
count,7887.0,all-SPW-states,deprivation,Doppio
rate,0.3651388888890918,all-SPW-states,deprivation,Doppio
duration,,NREM,early-deprivation,Doppio
sink_amplitude,,NREM,early-deprivation,Doppio
sink_integral,,NREM,early-deprivation,Doppio
count,0.0,NREM,early-deprivation,Doppio
rate,,NREM,early-deprivation,Doppio
duration,0.05479994489317619,wake,early-deprivation,Doppio
sink_amplitude,0.043415359076745236,wake,early-deprivation,Doppio
sink_integral,1.5742169380254762,wake,early-deprivation,Doppio
count,512.0,wake,early-deprivation,Doppio
rate,0.14842946060011405,wake,early-deprivation,Doppio
duration,0.05479994489317619,all-SPW-states,early-deprivation,Doppio
sink_amplitude,0.043415359076745236,all-SPW-states,early-deprivation,Doppio
sink_integral,1.5742169380254762,all-SPW-states,early-deprivation,Doppio
count,512.0,all-SPW-states,early-deprivation,Doppio
