band,region,power,state,condition,subject
delta,mpta_wm_ref,129008.22393735834,NREM,recovery,Valentino
delta,sr_wm_ref,530555.390215612,NREM,recovery,Valentino
theta,mpta_wm_ref,46663.17556979856,NREM,recovery,Valentino
theta,sr_wm_ref,277312.6219443141,NREM,recovery,Valentino
fast_gamma,mpta_wm_ref,1217.292453908963,NREM,recovery,Valentino
fast_gamma,sr_wm_ref,9832.21245247769,NREM,recovery,Valentino
low_delta,mpta_wm_ref,11617.3075068533,wake,recovery,Valentino
low_delta,sr_wm_ref,151451.02906872178,wake,recovery,Valentino
delta,mpta_wm_ref,25500.1946498807,wake,recovery,Valentino
delta,sr_wm_ref,295924.38094118604,wake,recovery,Valentino
theta,mpta_wm_ref,14274.889325234246,wake,recovery,Valentino
theta,sr_wm_ref,186150.03832363716,wake,recovery,Valentino
fast_gamma,mpta_wm_ref,1403.063598625293,wake,recovery,Valentino
fast_gamma,sr_wm_ref,5956.146774426864,wake,recovery,Valentino
low_delta,mpta_wm_ref,37336.61479227854,all-SPW-states,recovery,Valentino
low_delta,sr_wm_ref,226801.9193597244,all-SPW-states,recovery,Valentino
delta,mpta_wm_ref,99945.49433180311,all-SPW-states,recovery,Valentino
delta,sr_wm_ref,464676.2731407205,all-SPW-states,recovery,Valentino
theta,mpta_wm_ref,37569.27230458602,all-SPW-states,recovery,Valentino
theta,sr_wm_ref,251716.21617609006,all-SPW-states,recovery,Valentino
fast_gamma,mpta_wm_ref,1269.4528185161457,all-SPW-states,recovery,Valentino
fast_gamma,sr_wm_ref,8743.900275055192,all-SPW-states,recovery,Valentino
low_delta,mpta_wm_ref,51680.564933097005,NREM,early-recovery,Valentino
low_delta,sr_wm_ref,264008.1903150064,NREM,early-recovery,Valentino
delta,mpta_wm_ref,157359.66412341825,NREM,early-recovery,Valentino
delta,sr_wm_ref,572600.0568565348,NREM,early-recovery,Valentino
theta,mpta_wm_ref,50696.81867189853,NREM,early-recovery,Valentino
theta,sr_wm_ref,272186.2642202826,NREM,early-recovery,Valentino
fast_gamma,mpta_wm_ref,1285.780234186908,NREM,early-recovery,Valentino
